state,year,sex,population,live_births,deaths,students,births_per_1000,deaths_per_1000
Johor,2000,Female,5329.8,64914,9962,169001,12179.44388157154,1869.1132875530038
Johor,2000,Male,5720.0,69452,14326,176997,12141.958041958042,2504.5454545454545
Johor,2001,Female,5445.9,59150,10700,170132,10861.381957068621,1964.78084430489
Johor,2001,Male,5873.8,63714,14760,177540,10847.151758657088,2512.85368926419
Johor,2002,Female,5554.2,57554,11392,174054,10362.24838860682,2051.0604587519356
Johor,2002,Male,6019.9,61844,15526,182785,10273.260353162013,2579.1126098440172
Johor,2003,Female,5656.7,56014,11476,180982,9902.239821804233,2028.744674456839
Johor,2003,Male,6159.3,60446,15866,190473,9813.777539655479,2575.942071339275
Johor,2004,Female,5761.2,55642,11642,185117,9658.05734916337,2020.7595639797264
Johor,2004,Male,6297.0,59036,16042,195229,9375.258059393362,2547.562331268858
Johor,2005,Female,5863.2,54886,11916,185829,9361.099740755903,2032.3372902169465
Johor,2005,Male,6434.0,58162,16388,196553,9039.788622940629,2547.093565433634
Johor,2006,Female,5965.9,54152,11992,185807,9076.920498164569,2010.0906820429443
Johor,2006,Male,6571.6,59322,17100,196484,9027.025381946558,2602.106032016556
Johor,2007,Female,6066.3,55930,12360,188601,9219.78800916539,2037.4857821077098
Johor,2007,Male,6707.0,59630,17970,200227,8890.711197256598,2679.290293722976
Johor,2008,Female,6167.6,55882,13162,187672,9060.574615733834,2134.0553862118163
Johor,2008,Male,6842.1,59794,18690,199616,8739.129799330614,2731.6174858596046
Johor,2009,Female,6264.0,55562,13174,184722,8870.051085568328,2103.1289910600253
Johor,2009,Male,6973.6,60136,18768,196638,8623.379603074452,2691.2928759894457
Johor,2010,Female,6354.0,54150,13078,181184,8522.19074598678,2058.231035568146
Johor,2010,Male,7098.3,57978,19042,192748,8167.871180423483,2682.614147049293
Johor,2011,Female,6444.5,56410,13750,179271,8753.200403444796,2133.602296531926
Johor,2011,Male,7197.9,59924,19208,190517,8325.205962850276,2668.556106642215
Johor,2012,Female,6515.0,58460,14424,176703,8973.138910207215,2213.9677666922485
Johor,2012,Male,7286.5,62428,19978,187354,8567.625060042545,2741.7827489192346
Johor,2013,Female,6577.0,55460,14670,173033,8432.415995134561,2230.500228067508
Johor,2013,Male,7321.2,59344,20722,183482,8105.775009561274,2830.410315248866
Johor,2014,Female,6705.6,58046,14774,161515,8656.346933905988,2203.233118587449
Johor,2014,Male,7533.5,62840,21034,171108,8341.408375920886,2792.062122519413
Johor,2015,Female,6801.7,58472,15616,159614,8596.67436082156,2295.896614081774
Johor,2015,Male,7639.2,62614,22090,169165,8196.408000837784,2891.664048591476
Johor,2016,Female,6882.7,57614,16500,159216,8370.8428378398,2397.315007191945
Johor,2016,Male,7724.2,61508,23348,168699,7963.025297118149,3022.707853240465
Johor,2017,Female,6978.2,58874,17172,158464,8436.846178097503,2460.8065117078904
Johor,2017,Male,7810.6,63296,24152,168245,8103.85885847438,3092.208024991678
Johor,2018,Female,7091.2,58856,17466,159275,8299.864620938628,2463.052797833935
Johor,2018,Male,7905.8,63312,24768,168818,8008.29770548205,3132.8897771256547
Johor,2019,Female,7146.7,58376,18078,161024,8168.245483929645,2529.5590972057034
Johor,2019,Male,7898.8,62146,25520,170106,7867.777383906417,3230.8705119765027
Kelantan,2000,Female,2725.7,39310,6574,110760,14421.983343728218,2411.8575044942586
Kelantan,2000,Male,2719.7,41498,8666,115613,15258.300547854544,3186.380850829136
Kelantan,2001,Female,2780.2,36980,6860,110748,13301.20135242069,2467.448385008273
Kelantan,2001,Male,2778.7,39392,8734,116441,14176.413430740995,3143.196458775687
Kelantan,2002,Female,2831.9,36152,7092,111175,12765.9874995586,2504.325717716021
Kelantan,2002,Male,2834.3,38442,9568,117437,13563.13728257418,3375.7894365451784
Kelantan,2003,Female,2877.5,34580,7316,115367,12017.37619461338,2542.484795829713
Kelantan,2003,Male,2883.6,36792,9912,121588,12759.051186017477,3437.369954223887
Kelantan,2004,Female,2923.3,34334,7254,114809,11744.945780453596,2481.4422057264046
Kelantan,2004,Male,2931.1,35892,9840,121264,12245.232165398656,3357.1014294974584
Kelantan,2005,Female,2966.9,33008,7566,114399,11125.417102025684,2550.136506117496
Kelantan,2005,Male,2977.8,35168,10102,121168,11810.061118946873,3392.437369870374
Kelantan,2006,Female,3007.3,32570,7834,112684,10830.312905263858,2604.9945133508463
Kelantan,2006,Male,3022.0,34748,10046,119062,11498.345466578425,3324.2885506287225
Kelantan,2007,Female,3048.6,32814,7950,111736,10763.629206849046,2607.7543790592404
Kelantan,2007,Male,3067.7,34786,10422,117846,11339.439971314014,3397.3335071877955
Kelantan,2008,Female,3087.8,33620,8204,110073,10888.010881533777,2656.907830818058
Kelantan,2008,Male,3111.5,36064,11184,115966,11590.551181102363,3594.407841876908
Kelantan,2009,Female,3126.2000000000003,34756,8786,107815,11117.650822084319,2810.440790736357
Kelantan,2009,Male,3153.1,36674,11442,113604,11631.093209856966,3628.8097427928074
Kelantan,2010,Female,3165.3,34846,8416,104889,11008.7511452311,2658.831706315357
Kelantan,2010,Male,3194.7,37172,11180,110654,11635.521332206468,3499.5461232666603
Kelantan,2011,Female,3221.9,36534,8800,103135,11339.271858220303,2731.3076135199726
Kelantan,2011,Male,3253.5,38824,11248,108017,11932.995235899802,3457.199938527739
Kelantan,2012,Female,3285.3,35394,8602,101163,10773.445347456853,2618.3301372781784
Kelantan,2012,Male,3317.8,38656,11178,105412,11651.094098499005,3369.100006028091
Kelantan,2013,Female,3346.8,35120,8814,97701,10493.605832436953,2633.560415919684
Kelantan,2013,Male,3387.7,37706,11270,101971,11130.265371786169,3326.7408566283907
Kelantan,2014,Female,3419.3,38104,9260,87469,11143.801362852046,2708.156640248004
Kelantan,2014,Male,3474.4,40454,11916,91203,11643.449228643794,3429.65691918029
Kelantan,2015,Female,3491.5,38248,9404,85898,10954.604038378919,2693.3982528999
Kelantan,2015,Male,3550.5,39968,12174,89722,11257.006055485142,3428.812843261512
Kelantan,2016,Female,3560.3,37268,9396,84666,10467.6572198972,2639.103446338792
Kelantan,2016,Male,3626.5,39642,12222,88403,10931.200882393492,3370.191644836619
Kelantan,2017,Female,3623.7,38076,9838,83983,10507.4923420813,2714.904655462649
Kelantan,2017,Male,3693.0,40168,12568,87856,10876.79393447062,3403.195234226916
Kelantan,2018,Female,3682.5,36752,9968,83962,9980.176510522742,2706.8567549219283
Kelantan,2018,Male,3759.8,39968,12664,87444,10630.352678333953,3368.2642693760304
Kelantan,2019,Female,3726.9,35468,9928,84187,9516.75655370415,2663.8761437119324
Kelantan,2019,Male,3807.8,38248,12892,87401,10044.645201953885,3385.682021114554
Kuala Lumpur,2000,Female,2782.7,28464,4646,75029,10228.91436374744,1669.6014662018904
Kuala Lumpur,2000,Male,2880.9,30300,6338,80051,10517.546600020827,2200.0069422749834
Kuala Lumpur,2001,Female,2840.3,26472,4834,74539,9320.142238495933,1701.932894412562
Kuala Lumpur,2001,Male,2943.3,27950,6658,77454,9496.143784187816,2262.086773349641
Kuala Lumpur,2002,Female,2894.1,24994,5078,75855,8636.190871082548,1754.604194741025
Kuala Lumpur,2002,Male,3001.9,26862,7038,78388,8948.332722609013,2344.515140411073
Kuala Lumpur,2003,Female,2943.7,24232,5044,77279,8231.817100927405,1713.4898257295242
Kuala Lumpur,2003,Male,3057.9,26114,6732,79967,8539.847607835442,2201.5108407730795
Kuala Lumpur,2004,Female,2993.1,24162,4842,78209,8072.566903878922,1617.7207577428085
Kuala Lumpur,2004,Male,3112.3,25622,6658,80988,8232.496867268579,2139.2539279632424
Kuala Lumpur,2005,Female,3040.6,22620,4846,77174,7439.321186607906,1593.7643886075116
Kuala Lumpur,2005,Male,3165.9,24468,6424,80351,7728.607978773808,2029.1228402665906
Kuala Lumpur,2006,Female,3088.5,23322,4910,75816,7551.238465274405,1589.7684960336733
Kuala Lumpur,2006,Male,3221.0,24812,6672,79448,7703.197764669358,2071.4063955293386
Kuala Lumpur,2007,Female,3137.5,24106,5196,75182,7683.187250996016,1656.0956175298804
Kuala Lumpur,2007,Male,3275.6,25766,6834,79013,7866.03980950055,2086.335327878862
Kuala Lumpur,2008,Female,3185.7,24364,5382,73589,7647.926672316917,1689.4246162538846
Kuala Lumpur,2008,Male,3329.2,25992,6946,77183,7807.2810284753095,2086.387120028836
Kuala Lumpur,2009,Female,3231.2,25198,5324,71378,7798.341173557811,1647.6850705620202
Kuala Lumpur,2009,Male,3379.8,26542,7616,74731,7853.127403988402,2253.387774424522
Kuala Lumpur,2010,Female,3275.1,23548,5278,69388,7190.009465359837,1611.5538456841011
Kuala Lumpur,2010,Male,3423.7,25394,7652,72845,7417.121827262903,2235.008908490814
Kuala Lumpur,2011,Female,3312.2,24756,5750,68439,7474.186341404505,1736.006279814021
Kuala Lumpur,2011,Male,3459.5,26294,8104,71844,7600.520306402659,2342.5350484174014
Kuala Lumpur,2012,Female,3336.9,25940,5808,67513,7773.682160088705,1740.5376247415265
