state,year,sex,population,live_births,deaths,births_per_1000,deaths_per_1000,natural_increase
Selangor,2000,Male,8571.8,188500,27921,21990.713735738118,3257.308849949836,160579
Selangor,2000,Female,8183.3,178040,22903,21756.50409981303,2798.748671074017,155137
Selangor,2001,Male,8852.6,180777,29355,20420.780335720578,3315.974967806068,151422
Selangor,2001,Female,8416.7,170255,24117,20228.236719854573,2865.3747905948885,146138
Selangor,2002,Male,9132.4,185175,30514,20276.70710875564,3341.290350838772,154661
Selangor,2002,Female,8652.0,173765,25174,20083.795654184007,2909.6162736939436,148591
Selangor,2003,Male,9416.8,185611,31569,19710.62356639198,3352.412709200578,154042
Selangor,2003,Female,8892.3,174121,25611,19581.098253545202,2880.1322492493505,148510
Selangor,2004,Male,9705.4,192670,32182,19851.835060893936,3315.8860016073527,160488
Selangor,2004,Female,9145.8,180034,26282,19684.882678387898,2873.668787858908,153752
Selangor,2005,Male,10000.4,190813,33576,19080.536778528858,3357.465701371945,157237
Selangor,2005,Female,9398.1,179011,27908,19047.57344569647,2969.5363956544406,151103
Selangor,2006,Male,10295.8,195949,34662,19031.93535227957,3366.6155131218557,161287
Selangor,2006,Female,9649.0,182999,28118,18965.592289356413,2914.0843610736865,154881
Selangor,2007,Male,10598.3,200530,35039,18920.959021729905,3306.096260721059,165491
Selangor,2007,Female,9910.0,187690,28573,18939.455095862766,2883.249243188698,159117
Selangor,2008,Male,10900.0,207476,38797,19034.495412844037,3559.3577981651374,168679
Selangor,2008,Female,10173.8,193660,31799,19035.168766832452,3125.5774636812207,161861
Selangor,2009,Male,11218.6,213011,40296,18987.306794074128,3591.8920364394844,172715
Selangor,2009,Female,10452.9,199081,33196,19045.528035282074,3175.7694037061488,165885
Selangor,2010,Male,11418.3,203186,40841,17794.768047782945,3576.8021509331516,162345
Selangor,2010,Female,10591.1,190530,33391,17989.63280490223,3152.7414527291785,157139
Selangor,2011,Male,11628.1,214722,42620,18465.785467961232,3665.259156697999,172102
Selangor,2011,Female,10773.5,200022,34788,18566.111291595116,3229.0342042975817,165234
Selangor,2012,Male,11836.6,224187,46187,18940.151732761096,3902.049575046888,178000
Selangor,2012,Female,10973.4,207597,37893,18918.202198042538,3453.1685712723497,169704
Selangor,2013,Male,12288.9,213926,47779,17408.067442976997,3887.9802097828124,166147
Selangor,2013,Female,11330.0,198766,38929,17543.33627537511,3435.9223300970875,159837
Selangor,2014,Male,12590.0,225368,49704,17900.555996822874,3947.8951548848295,175664
Selangor,2014,Female,11614.6,210360,40884,18111.68701461953,3520.0523479069448,169476
Selangor,2015,Male,12849.7,223893,52134,17423.986552215225,4057.2153435488767,171759
Selangor,2015,Female,11861.9,208631,43082,17588.3290198029,3631.964525076084,165549
Selangor,2016,Male,13086.1,216901,56507,16574.91536821513,4318.093243976433,160394
Selangor,2016,Female,12079.5,201743,45845,16701.270747961422,3795.2729831532765,155898
Selangor,2017,Male,13265.5,215737,58622,16263.013079039612,4419.13233575817,157115
Selangor,2017,Female,12258.2,200211,48310,16332.822110913512,3941.0353885562313,151901
Selangor,2018,Male,13459.6,211711,60123,15729.367886118458,4466.92323694612,151588
Selangor,2018,Female,12440.5,196789,49425,15818.415658534625,3972.9110566295567,147364
Selangor,2019,Male,13500.5,204063,61214,15115.217954890559,4534.20243694678,142849
Selangor,2019,Female,12524.5,191281,49930,15272.545810211985,3986.5862908698946,141351
Johor,2000,Male,5720.0,139007,26899,24301.923076923078,4702.622377622378,112108
Johor,2000,Female,5329.8,129725,21677,24339.562460129833,4067.1319749333934,108048
Johor,2001,Male,5873.8,127468,27971,21701.113418911096,4761.993939187579,99497
Johor,2001,Female,5445.9,118260,22949,21715.418939018346,4213.995850089058,95311
Johor,2002,Male,6019.9,123945,29527,20589.21244538946,4904.898752470972,94418
Johor,2002,Female,5554.2,114851,24309,20678.225487018834,4376.687911850491,90542
Johor,2003,Male,6159.3,121153,30119,19669.930024515772,4890.003734190574,91034
Johor,2003,Female,5656.7,111767,24565,19758.339668004315,4342.637933777644,87202
Johor,2004,Male,6297.0,118923,30499,18885.659838018102,4843.417500397014,88424
Johor,2004,Female,5761.2,110433,24869,19168.4024161633,4316.635423175727,85564
Johor,2005,Male,6434.0,117310,31197,18232.82561392602,4848.772147963942,86113
Johor,2005,Female,5863.2,108786,25411,18554.03192795743,4333.981443580297,83375
Johor,2006,Male,6571.6,118800,32349,18077.78927506239,4922.545498813074,86451
Johor,2006,Female,5965.9,108148,25835,18127.692385055063,4330.444694010963,82313
Johor,2007,Male,6707.0,120308,33896,17937.67705382436,5053.824362606233,86412
Johor,2007,Female,6066.3,110812,26764,18266.818324184427,4411.915005852002,84048
Johor,2008,Male,6842.1,120631,35442,17630.698177460137,5179.98859999123,85189
Johor,2008,Female,6167.6,110721,28262,17952.039691289963,4582.33348466178,82459
Johor,2009,Male,6973.6,121086,35595,17363.48514397155,5104.250315475508,85491
Johor,2009,Female,6264.0,110310,28289,17610.15325670498,4516.123882503192,82021
Johor,2010,Male,7098.3,117144,35991,16503.106377583365,5070.3689615823505,81153
Johor,2010,Female,6354.0,107112,28249,16857.41265344665,4445.860875039346,78863
Johor,2011,Male,7197.9,121303,36597,16852.55421720224,5084.399616554829,84706
Johor,2011,Female,6444.5,111365,29319,17280.62689114749,4549.460780510513,82046
Johor,2012,Male,7286.5,126251,38141,17326.700061758045,5234.4747135112875,88110
Johor,2012,Female,6515.0,115525,30663,17732.156561780506,4706.523407521106,84862
Johor,2013,Male,7321.2,119820,39366,16366.16948041305,5376.987379118177,80454
Johor,2013,Female,6577.0,109788,31418,16692.717044245095,4776.949977193249,78370
Johor,2014,Male,7533.5,126797,39979,16831.087807791864,5306.829494922678,86818
Johor,2014,Female,6705.6,114975,31637,17146.116678596994,4717.996898115009,83338
Johor,2015,Male,7639.2,126668,42036,16581.31741543617,5502.670436694942,84632
Johor,2015,Female,6801.7,115504,33376,16981.63694370525,4907.008541982152,82128
Johor,2016,Male,7724.2,124500,44420,16118.174050387097,5750.7573599855,80080
Johor,2016,Female,6882.7,113744,35276,16526.072616850946,5125.314193557761,78468
Johor,2017,Male,7810.6,127819,45977,16364.81192225949,5886.487593782807,81842
Johor,2017,Female,6978.2,116521,36671,16697.85904674558,5255.080106617753,79850
Johor,2018,Male,7905.8,127714,47032,16154.468870955501,5949.0500645096,80682
Johor,2018,Female,7091.2,116622,37436,16446.01759927798,5279.2193140794225,79186
Johor,2019,Male,7898.8,125419,48409,15878.23466855725,6128.6524535372455,77010
Johor,2019,Female,7146.7,115625,38787,16178.795807855373,5427.260134047882,76838
Penang,2000,Male,0.0,0,0,,,0
Penang,2000,Female,0.0,0,0,,,0
Penang,2001,Male,0.0,0,0,,,0
Penang,2001,Female,0.0,0,0,,,0
Penang,2002,Male,0.0,0,0,,,0
Penang,2002,Female,0.0,0,0,,,0
