state,year,pop_total,births_total,deaths_total,rows
Johor,2000,11049.8,268732,48576,2
Johor,2001,11319.7,245728,50920,2
Johor,2002,11574.099999999999,238796,53836,2
Johor,2003,11816.0,232920,54684,2
Johor,2004,12058.2,229356,55368,2
Johor,2005,12297.2,226096,56608,2
Johor,2006,12537.5,226948,58184,2
Johor,2007,12773.3,231120,60660,2
Johor,2008,13009.7,231352,63704,2
Johor,2009,13237.6,231396,63884,2
Johor,2010,13452.3,224256,64240,2
Johor,2011,13642.4,232668,65916,2
Johor,2012,13801.5,241776,68804,2
Johor,2013,13898.2,229608,70784,2
Johor,2014,14239.1,241772,71616,2
Johor,2015,14440.9,242172,75412,2
Johor,2016,14606.9,238244,79696,2
Johor,2017,14788.8,244340,82648,2
Johor,2018,14997.0,244336,84468,2
Johor,2019,15045.5,241044,87196,2
Kelantan,2000,5445.4,161616,30480,2
Kelantan,2001,5558.9,152744,31188,2
Kelantan,2002,5666.200000000001,149188,33320,2
Kelantan,2003,5761.1,142744,34456,2
Kelantan,2004,5854.4,140452,34188,2
Kelantan,2005,5944.700000000001,136352,35336,2
Kelantan,2006,6029.3,134636,35760,2
Kelantan,2007,6116.299999999999,135200,36744,2
Kelantan,2008,6199.3,139368,38776,2
Kelantan,2009,6279.3,142860,40456,2
Kelantan,2010,6360.0,144036,39192,2
Kelantan,2011,6475.4,150716,40096,2
Kelantan,2012,6603.1,148100,39560,2
Kelantan,2013,6734.5,145652,40168,2
Kelantan,2014,6893.700000000001,157116,42352,2
Kelantan,2015,7042.0,156432,43156,2
Kelantan,2016,7186.8,153820,43236,2
Kelantan,2017,7316.7,156488,44812,2
Kelantan,2018,7442.3,153440,45264,2
Kelantan,2019,7534.700000000001,147432,45640,2
Kuala Lumpur,2000,5663.6,117528,21968,2
Kuala Lumpur,2001,5783.6,108844,22984,2
Kuala Lumpur,2002,5896.0,103712,24232,2
Kuala Lumpur,2003,6001.6,100692,23552,2
Kuala Lumpur,2004,6105.4,99568,23000,2
Kuala Lumpur,2005,6206.5,94176,22540,2
Kuala Lumpur,2006,6309.5,96268,23164,2
Kuala Lumpur,2007,6413.1,99744,24060,2
Kuala Lumpur,2008,6514.9,100712,24656,2
Kuala Lumpur,2009,6611.0,103480,25880,2
Kuala Lumpur,2010,6698.799999999999,97884,25860,2
Kuala Lumpur,2011,6771.7,102100,27708,2
Kuala Lumpur,2012,6808.8,107928,27984,2
Kuala Lumpur,2013,6893.3,101332,28732,2
Kuala Lumpur,2014,6949.6,108400,30588,2
Kuala Lumpur,2015,7121.2,103156,30432,2
Kuala Lumpur,2016,7159.299999999999,102956,32308,2
Kuala Lumpur,2017,7173.2,98928,32820,2
Kuala Lumpur,2018,7161.0,96940,33940,2
Kuala Lumpur,2019,7129.9,95684,35380,2
Penang,2000,0.0,0,0,2
Penang,2001,0.0,0,0,2
Penang,2002,0.0,0,0,2
Penang,2003,0.0,0,0,2
Penang,2004,0.0,0,0,2
Penang,2005,0.0,0,0,2
Penang,2006,0.0,0,0,2
Penang,2007,0.0,0,0,2
Penang,2008,0.0,0,0,2
Penang,2009,0.0,0,0,2
Penang,2010,0.0,0,0,2
Penang,2011,0.0,0,0,2
Penang,2012,0.0,0,0,2
Penang,2013,0.0,0,0,2
Penang,2014,0.0,0,0,2
Penang,2015,0.0,0,0,2
Penang,2016,0.0,0,0,2
Penang,2017,0.0,0,0,2
Penang,2018,0.0,0,0,2
Penang,2019,0.0,0,0,2
Perak,2000,8366.5,194356,52776,2
Perak,2001,8515.7,174132,54308,2
Perak,2002,8647.099999999999,169156,57380,2
Perak,2003,8768.8,159288,58244,2
Perak,2004,8887.400000000001,156048,57604,2
Perak,2005,9003.9,149476,57392,2
Perak,2006,9116.7,147340,57716,2
Perak,2007,9225.0,146512,59652,2
Perak,2008,9326.7,148696,61580,2
Perak,2009,9422.599999999999,148812,62964,2
Perak,2010,9515.6,144104,61760,2
Perak,2011,9610.7,150088,64048,2
Perak,2012,9708.2,150848,65580,2
Perak,2013,9789.1,141708,65544,2
Perak,2014,9835.4,146344,67700,2
Perak,2015,9867.5,145136,68636,2
Perak,2016,9929.1,142740,71280,2
Perak,2017,9972.0,139352,72188,2
Perak,2018,10014.0,135476,74400,2
Perak,2019,10034.599999999999,132020,74960,2
Sabah,2000,10414.4,197232,20812,2
Sabah,2001,10653.8,195960,21748,2
Sabah,2002,10877.3,184476,23456,2
Sabah,2003,11095.599999999999,177552,24244,2
Sabah,2004,11333.8,184680,25312,2
Sabah,2005,11587.8,188640,26252,2
Sabah,2006,11852.2,184568,26808,2
Sabah,2007,12130.2,188068,27916,2
Sabah,2008,12419.6,201088,29576,2
Sabah,2009,12725.4,211128,30260,2
Sabah,2010,13039.900000000001,216536,30488,2
Sabah,2011,13382.3,219960,32380,2
Sabah,2012,13730.6,232740,32264,2
Sabah,2013,14446.7,227292,33012,2
Sabah,2014,14679.3,229588,48752,2
Sabah,2015,14881.7,218796,50044,2
Sabah,2016,15211.3,208284,51336,2
Sabah,2017,15424.4,210112,54876,2
