state,year,population,live_births,deaths,birth_rate,death_rate,natural_increase
Johor,2000,2762.5,67183.0,12144.0,24319.638009049777,4396.018099547511,55039.0
Johor,2001,2829.9,61432.0,12730.0,21708.187568465317,4498.392169334605,48702.0
Johor,2002,2893.6,59699.0,13459.0,20631.393419961296,4651.299419408349,46240.0
Johor,2003,2954.0,58230.0,13671.0,19712.254570074474,4627.962085308057,44559.0
Johor,2004,3014.6,57339.0,13842.0,19020.43388840974,4591.653950772906,43497.0
Johor,2005,3074.4,56524.0,14152.0,18385.376008326828,4603.174603174602,42372.0
Johor,2006,3134.4,56737.0,14546.0,18101.3910158244,4640.760592138847,42191.0
Johor,2007,3193.5,57780.0,15165.0,18093.001409112258,4748.708313762329,42615.0
Johor,2008,3252.3,57838.0,15926.0,17783.722288841742,4896.842234726193,41912.0
Johor,2009,3309.4,57849.0,15971.0,17480.207892669365,4825.950323321447,41878.0
Johor,2010,3362.9,56064.0,16060.0,16671.325344196972,4775.6400725564245,40004.0
Johor,2011,3410.5,58167.0,16479.0,17055.27048819821,4831.842838293505,41688.0
Johor,2012,3450.4,60444.0,17201.0,17517.96893113842,4985.2191050313,43243.0
Johor,2013,3474.4,57402.0,17696.0,16521.413769283903,5093.253511397651,39706.0
Johor,2014,3559.8,60443.0,17904.0,16979.324681161863,5029.496039103321,42539.0
Johor,2015,3610.3,60543.0,18853.0,16769.52053845941,5222.003711602913,41690.0
Johor,2016,3651.8,59561.0,19924.0,16310.038884933456,5455.939536666849,39637.0
Johor,2017,3697.0,61085.0,20662.0,16522.856370029753,5588.855829050582,40423.0
Johor,2018,3749.4,61084.0,21117.0,16291.67333440017,5632.101136181789,39967.0
Johor,2019,3761.2,60261.0,21799.0,16021.748378177179,5795.756673402107,38462.0
Kedah,2000,1671.9,41014.0,8982.0,24531.371493510378,5372.330881033555,32032.0
Kedah,2001,1703.9,38073.0,9197.0,22344.6211632138,5397.6172310581605,28876.0
Kedah,2002,1734.8,36604.0,9925.0,21099.838598109294,5721.120590269772,26679.0
Kedah,2003,1763.7,35407.0,10311.0,20075.40965016726,5846.232352440891,25096.0
Kedah,2004,1792.4,35059.0,10095.0,19559.80807855389,5632.113367551885,24964.0
Kedah,2005,1820.3,34254.0,10280.0,18817.777289457783,5647.420754820634,23974.0
Kedah,2006,1847.5,33864.0,10698.0,18329.634641407305,5790.527740189445,23166.0
Kedah,2007,1874.2,33963.0,10847.0,18121.33176822111,5787.536015366556,23116.0
Kedah,2008,1900.2,35415.0,11071.0,18637.511840858857,5826.228818019156,24344.0
Kedah,2009,1925.3,36019.0,11618.0,18708.25325923233,6034.384251804914,24401.0
Kedah,2010,1949.3,35128.0,11674.0,18020.827989534704,5988.816498230134,23454.0
Kedah,2011,1971.8,35937.0,11869.0,18225.47925753119,6019.3731615782535,24068.0
Kedah,2012,2001.1,36390.0,12268.0,18184.998250961973,6130.628154515018,24122.0
Kedah,2013,2039.8,35032.0,12516.0,17174.232767918424,6135.895676046672,22516.0
Kedah,2014,2062.7,36505.0,13017.0,17697.677800940517,6310.660784408786,23488.0
Kedah,2015,2096.5,36784.0,13674.0,17545.432864297636,6522.299069878368,23110.0
Kedah,2016,2119.7,35967.0,13771.0,16967.967165164882,6496.674057649668,22196.0
Kedah,2017,2143.9,36693.0,14332.0,17115.0706656094,6685.013293530481,22361.0
Kedah,2018,2163.0,35643.0,14552.0,16478.502080443828,6727.693018955155,21091.0
Kedah,2019,2173.7,34511.0,14302.0,15876.615908359021,6579.564797350141,20209.0
Kelantan,2000,1361.4,40404.0,7620.0,29678.272366681354,5597.179374173645,32784.0
Kelantan,2001,1390.0,38186.0,7797.0,27471.942446043166,5609.3525179856115,30389.0
Kelantan,2002,1416.7,37297.0,8330.0,26326.674666478437,5879.86165031411,28967.0
Kelantan,2003,1440.5,35686.0,8614.0,24773.342589378688,5979.868101353697,27072.0
Kelantan,2004,1463.8,35113.0,8547.0,23987.566607460034,5838.912419729471,26566.0
Kelantan,2005,1486.3,34088.0,8834.0,22934.804548206957,5943.618381215098,25254.0
Kelantan,2006,1507.6,33659.0,8940.0,22326.21384982754,5929.954895197666,24719.0
Kelantan,2007,1529.1,33800.0,9186.0,22104.50591851416,6007.455365901511,24614.0
Kelantan,2008,1549.8,34842.0,9694.0,22481.61053039102,6255.000645244548,25148.0
Kelantan,2009,1570.0,35715.0,10114.0,22748.4076433121,6442.03821656051,25601.0
Kelantan,2010,1589.9,36009.0,9798.0,22648.59425121077,6162.6517391030875,26211.0
Kelantan,2011,1618.8,37679.0,10024.0,23275.883370397823,6192.241166296021,27655.0
Kelantan,2012,1651.0,37025.0,9890.0,22425.80254391278,5990.30890369473,27135.0
Kelantan,2013,1683.5,36413.0,10042.0,21629.34362934363,5964.953964953965,26371.0
Kelantan,2014,1723.4,39279.0,10588.0,22791.574794011838,6143.669490541952,28691.0
Kelantan,2015,1760.6,39108.0,10789.0,22212.881972054984,6128.024537089629,28319.0
Kelantan,2016,1796.7,38455.0,10809.0,21403.127956809705,6016.029387209885,27646.0
Kelantan,2017,1829.0,39122.0,11203.0,21389.830508474577,6125.205030071077,27919.0
Kelantan,2018,1860.5,38360.0,11316.0,20618.113410373557,6082.235958075786,27044.0
Kelantan,2019,1883.8,36858.0,11410.0,19565.7713133029,6056.906253317762,25448.0
Melaka,2000,646.6,15304.0,3725.0,23668.419424682954,5760.903185895453,11579.0
Melaka,2001,665.8,14317.0,3799.0,21503.454490838092,5705.917693000902,10518.0
Melaka,2002,684.1,13810.0,3966.0,20187.107148077765,5797.398041222043,9844.0
Melaka,2003,701.8,13898.0,3964.0,19803.36278141921,5648.332858364206,9934.0
Melaka,2004,719.8,13548.0,4070.0,18821.89497082523,5654.3484301194785,9478.0
Melaka,2005,737.3,13341.0,4140.0,18094.398480943986,5615.082056150821,9201.0
Melaka,2006,755.0,12946.0,4146.0,17147.01986754967,5491.390728476821,8800.0
Melaka,2007,772.8,13444.0,4145.0,17396.48033126294,5363.612836438923,9299.0
Melaka,2008,790.5,13619.0,4381.0,17228.336495888678,5542.061986084756,9238.0
Melaka,2009,807.8,13456.0,4472.0,16657.588512007922,5536.023768259471,8984.0
Melaka,2010,823.6,13010.0,4481.0,15796.503156872268,5440.747935891209,8529.0
Melaka,2011,833.2,13976.0,4606.0,16773.883821411422,5528.0844935189625,9370.0
Melaka,2012,843.2,14278.0,4575.0,16933.111954459204,5425.759013282733,9703.0
Melaka,2013,856.7,13692.0,4747.0,15982.257499708181,5541.029531924828,8945.0
Melaka,2014,871.7,14568.0,4728.0,16712.171618676148,5423.884363886657,9840.0
Melaka,2015,889.0,14554.0,4959.0,16371.203599550057,5578.177727784027,9595.0
Melaka,2016,901.1,14402.0,5186.0,15982.687825990455,5755.188103429142,9216.0
