Year,Sex,State,Number of students at primary level
2014,Male,Malaysia,1392484
2014,Male,Johor,171108
2014,Male,Kedah,99715
2014,Male,Kelantan,91203
2014,Male,Melaka,41649
2014,Male,Negeri Sembilan,53018
2014,Male,Pahang,75742
2014,Male,Perak,108053
2014,Male,Perlis,11926
2014,Male,Pulau Pinang,69493
2014,Male,Sabah ,136932
2014,Male,Sarawak,129897
2014,Male,Selangor,264661
2014,Male,Terengganu,63071
2014,Male,W.P. Kuala Lumpur,66261
2014,Male,W.P. Labuan,4192
2014,Male,W.P. Putrajaya,5563
2014,Female,Malaysia,1316856
2014,Female,Johor,161515
2014,Female,Kedah,95697
2014,Female,Kelantan,87469
2014,Female,Melaka,39517
2014,Female,Negeri Sembilan,50236
2014,Female,Pahang,71473
2014,Female,Perak,102866
2014,Female,Perlis,11281
2014,Female,Pulau Pinang,65676
2014,Female,Sabah ,129045
2014,Female,Sarawak,120824
2014,Female,Selangor,248655
2014,Female,Terengganu,60006
2014,Female,W.P. Kuala Lumpur,63338
2014,Female,W.P. Labuan,3923
2014,Female,W.P. Putrajaya,5335
2015,Male,Malaysia,1378766
2015,Male,Johor,169165
2015,Male,Kedah,97953
2015,Male,Kelantan,89722
2015,Male,Melaka,41503
2015,Male,Negeri Sembilan,52408
2015,Male,Pahang,74304
2015,Male,Perak,105402
2015,Male,Perlis,11825
2015,Male,Pulau Pinang,68212
2015,Male,Sabah ,137936
2015,Male,Sarawak,128490
2015,Male,Selangor,262779
2015,Male,Terengganu,62941
2015,Male,W.P. Kuala Lumpur,65677
2015,Male,W.P. Labuan,4279
2015,Male,W.P. Putrajaya,6170
2015,Female,Malaysia,1305226
2015,Female,Johor,159614
2015,Female,Kedah,94161
2015,Female,Kelantan,85898
2015,Female,Melaka,39415
2015,Female,Negeri Sembilan,49889
2015,Female,Pahang,70065
2015,Female,Perak,100190
2015,Female,Perlis,11178
2015,Female,Pulau Pinang,64736
2015,Female,Sabah ,130039
2015,Female,Sarawak,119732
2015,Female,Selangor,247710
2015,Female,Terengganu,59717
2015,Female,W.P. Kuala Lumpur,62926
2015,Female,W.P. Labuan,4030
2015,Female,W.P. Putrajaya,5926
2016,Male,Malaysia,1377153
2016,Male,Johor,168699
2016,Male,Kedah,97237
2016,Male,Kelantan,88403
2016,Male,Melaka,41470
2016,Male,Negeri Sembilan,52180
2016,Male,Pahang,74535
2016,Male,Perak,104205
2016,Male,Perlis,11835
2016,Male,Pulau Pinang,67908
2016,Male,Sabah ,139256
2016,Male,Sarawak,127933
2016,Male,Selangor,263636
2016,Male,Terengganu,63313
2016,Male,W.P. Kuala Lumpur,65209
2016,Male,W.P. Labuan,4418
2016,Male,W.P. Putrajaya,6916
2016,Female,Malaysia,1306600
2016,Female,Johor,159216
2016,Female,Kedah,93703
2016,Female,Kelantan,84666
2016,Female,Melaka,39616
2016,Female,Negeri Sembilan,49526
2016,Female,Pahang,70451
2016,Female,Perak,99478
2016,Female,Perlis,11115
2016,Female,Pulau Pinang,64390
2016,Female,Sabah ,131418
2016,Female,Sarawak,119656
2016,Female,Selangor,249142
2016,Female,Terengganu,60549
2016,Female,W.P. Kuala Lumpur,62855
2016,Female,W.P. Labuan,4204
2016,Female,W.P. Putrajaya,6615
2017,Male,Malaysia,1373928
2017,Male,Johor,168245
2017,Male,Kedah,97025
2017,Male,Kelantan,87856
2017,Male,Melaka,41571
2017,Male,Negeri Sembilan,52117
2017,Male,Pahang,74331
2017,Male,Perak,102907
2017,Male,Perlis,11884
2017,Male,Pulau Pinang,67008
2017,Male,Sabah ,140796
2017,Male,Sarawak,126854
2017,Male,Selangor,263031
2017,Male,Terengganu,63680
2017,Male,W.P. Kuala Lumpur,64415
2017,Male,W.P. Labuan,4491
2017,Male,W.P. Putrajaya,7717
2017,Female,Malaysia,1304701
2017,Female,Johor,158464
2017,Female,Kedah,93003
2017,Female,Kelantan,83983
2017,Female,Melaka,39515
2017,Female,Negeri Sembilan,49674
2017,Female,Pahang,70786
2017,Female,Perak,98210
2017,Female,Perlis,11181
2017,Female,Pulau Pinang,63447
2017,Female,Sabah ,133041
2017,Female,Sarawak,118569
2017,Female,Selangor,249686
2017,Female,Terengganu,61170
2017,Female,W.P. Kuala Lumpur,62314
2017,Female,W.P. Labuan,4278
2017,Female,W.P. Putrajaya,7380
2018,Male,Malaysia,1381972
2018,Male,Johor,168818
2018,Male,Kedah,96708
2018,Male,Kelantan,87444
2018,Male,Melaka,42159
2018,Male,Negeri Sembilan,52485
2018,Male,Pahang,74776
2018,Male,Perak,102982
2018,Male,Perlis,11982
2018,Male,Pulau Pinang,66947
2018,Male,Sabah ,142752
2018,Male,Sarawak,126369
2018,Male,Selangor,265678
2018,Male,Terengganu,64688
2018,Male,W.P. Kuala Lumpur,64934
2018,Male,W.P. Labuan,4631
2018,Male,W.P. Putrajaya,8619
2018,Female,Malaysia,1312807
2018,Female,Johor,159275
2018,Female,Kedah,93089
2018,Female,Kelantan,83962
2018,Female,Melaka,39955
2018,Female,Negeri Sembilan,50054
2018,Female,Pahang,70922
2018,Female,Perak,97647
2018,Female,Perlis,11266
2018,Female,Pulau Pinang,63243
2018,Female,Sabah ,134831
2018,Female,Sarawak,118572
2018,Female,Selangor,252710
2018,Female,Terengganu,61777
2018,Female,W.P. Kuala Lumpur,62699
2018,Female,W.P. Labuan,4434
2018,Female,W.P. Putrajaya,8371
2019,Male,Malaysia,1399252
2019,Male,Johor,170106
2019,Male,Kedah,96878
2019,Male,Kelantan,87401
2019,Male,Melaka,42824
2019,Male,Negeri Sembilan,53375
2019,Male,Pahang,75044
2019,Male,Perak,103598
2019,Male,Perlis,12198
2019,Male,Pulau Pinang,67406
2019,Male,Sabah ,146301
2019,Male,Sarawak,126465
2019,Male,Selangor,271294
2019,Male,Terengganu,65863
2019,Male,W.P. Kuala Lumpur,66246
2019,Male,W.P. Labuan,4816
2019,Male,W.P. Putrajaya,9437
2019,Female,Malaysia,1330007
2019,Female,Johor,161024
2019,Female,Kedah,93091
2019,Female,Kelantan,84187
2019,Female,Melaka,40810
2019,Female,Negeri Sembilan,50954
2019,Female,Pahang,71636
2019,Female,Perak,98190
2019,Female,Perlis,11452
2019,Female,Pulau Pinang,64169
2019,Female,Sabah ,137965
2019,Female,Sarawak,118348
2019,Female,Selangor,257737
2019,Female,Terengganu,62688
2019,Female,W.P. Kuala Lumpur,64030
2019,Female,W.P. Labuan,4577
2019,Female,W.P. Putrajaya,9149
2000,Male,Malaysia,1489300
2000,Male,Johor,176997
2000,Male,Kedah,113203
2000,Male,Kelantan,115613
2000,Male,Melaka,41857
2000,Male,Negeri Sembilan,57306
2000,Male,Pahang,89908
2000,Male,Perak,140760
2000,Male,Perlis,13981
2000,Male,Pulau Pinang,71899
2000,Male,Sabah ,157314
2000,Male,Sarawak,140391
2000,Male,Selangor,212709
2000,Male,Terengganu,77311
2000,Male,W.P. Kuala Lumpur,80051
2000,Male,W.P. Labuan,0
2000,Male,W.P. Putrajaya,0
2000,Female,Malaysia,1409748
2000,Female,Johor,169001
2000,Female,Kedah,107605
2000,Female,Kelantan,110760
2000,Female,Melaka,39562
2000,Female,Negeri Sembilan,54014
2000,Female,Pahang,85621
2000,Female,Perak,134054
2000,Female,Perlis,13523
2000,Female,Pulau Pinang,67533
2000,Female,Sabah ,147515
2000,Female,Sarawak,132140
2000,Female,Selangor,199284
2000,Female,Terengganu,74107
2000,Female,W.P. Kuala Lumpur,75029
2000,Female,W.P. Labuan,0
2000,Female,W.P. Putrajaya,0
2001,Male,Malaysia,1492437
2001,Male,Johor,177540
2001,Male,Kedah,113683
2001,Male,Kelantan,116441
2001,Male,Melaka,42184
2001,Male,Negeri Sembilan,57692
2001,Male,Pahang,88726
2001,Male,Perak,139325
2001,Male,Perlis,13972
2001,Male,Pulau Pinang,71666
2001,Male,Sabah ,152001
2001,Male,Sarawak,140640
2001,Male,Selangor,220175
2001,Male,Terengganu,76901
